raw_filename,specimen_number,notes
Img0001.JPG,28,ST-HRN 2|8
Img0002.JPG,29,ST-HRN 2|9
Img0003.JPG,30,ST-HRN 3|0
Img0004.JPG,31,ST-HRN 3|1
Img0005.JPG,32,ST-HRN 3|2
Img0006.JPG,32,ST-HRN 3|2 — DUPLICATE of Img0005 (retake)
Img0007.JPG,33,ST-HRN 3|3
Img0008.JPG,34,ST-HRN 3|4
Img0009.JPG,35,ST-HRN 3|5
Img0010.JPG,36,ST-HRN 3|6
Img0011.JPG,37,ST-HRN 3|7
Img0012.JPG,28,ST-HRN 2|8 — DUPLICATE of Img0001 (retake)
Img0013.JPG,39,ST-HRN 3|9
Img0014.JPG,40,ST-HRN 4|0
Img0015.JPG,41,ST-HRN 4|1
Img0016.JPG,42,ST-HRN 4|2
Img0017.JPG,43,ST-HRN 4|3
Img0018.JPG,45,ST-HRN 4|5
Img0019.JPG,42,ST-HRN 4|2 — DUPLICATE of Img0016 (retake)
Img0020.JPG,43,ST-HRN 4|3 — DUPLICATE of Img0017 (retake)
