media_uuid,specimen_uuid,institution,collection,catalog_number,scientific_name,country,state,county,locality,year,recorded_by,creator,license,rights,image_url,media_format,local_filename
41a0eca5-dffe-45fd-98af-aa0b370b767a,dbcbdb2f-0e9d-4027-bc0c-b5ea219c0e91,NEON,FISC-V,NEON06X4A,Salvelinus fontinalis,United States,California,Tuolumne,"Pacific Southwest (D17), Teakettle Creek - Watershed 2 NEON (TECR), Teakettle 2 Creek Stream, Fish parent, 05 Fish Point",2022,Catie Halvorsen (ORCID 0000-0001-9719-1429),Gilma De Leon,CC BY-SA (Attribution-ShareAlike),https://creativecommons.org/licenses/by-sa/4.0/,https://media01.symbiota.org/media/neon/NEON_FISC-V/00000/A00000339708-1_1675273165.jpg,image/jpeg,NEON_NEON06X4A_41a0eca5.jpg
663b9d32-c119-4acd-a64c-b2019a0bc3c4,b9c8462f-c8c8-4d6e-a7fb-276826b12344,NEON,FISC-V,NEON054P2,Salvelinus fontinalis,United States,California,Tuolumne,"Pacific Southwest (D17), Teakettle Creek - Watershed 2 NEON (TECR), Teakettle 2 Creek Stream, Fish parent, 05 Fish Point",2021,Michael Molina (ORCID 0000-0002-5454-7533),,CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,https://biorepo.neonscience.org/imglib/neon/NEON_FISC-V/A00000298/A00000298499.jpg,image/jpeg,NEON_NEON054P2_663b9d32.jpg
04a6c11a-5ac8-4d14-bc33-350514bea5e8,a484cfd9-3bfb-4cb6-a8fc-70f597ce8a62,YPM,VZ,YPM ICH 025874,Salvelinus fontinalis,,,,,,,Henry Camarillo,,CC0,"https://images.collections.yale.edu/iiif/2/ypm:edaa7a44-37d6-4062-a08d-60fd9c4232e7/full/!1920,1920/0/default.jpg",image/jpeg,YPM_YPM_ICH_025874_04a6c11a.jpg
7c558858-ec65-4690-ad6d-f907124e03a8,eaa3e158-b18a-45c9-b57e-922bc4fd2ba4,YPM,VZ,YPM ICH 011792,Salvelinus fontinalis,USA,Maine,Piscataquis County,,,Arthur B. Waring,Adam Z. Andis,,CC0,"https://images.collections.yale.edu/iiif/2/ypm:eb9cf550-2ec0-4ed4-9aaa-5f8fc9c05c6b/full/!1920,1920/0/default.jpg",image/jpeg,YPM_YPM_ICH_011792_7c558858.jpg
35f7f9df-93b3-4de5-b1ca-bde5c7434919,6daa72a1-c195-4e21-b2d9-e95fc4fb166e,YPM,VZ,YPM ICH 029984,Salvelinus fontinalis,USA,Maine,Piscataquis County,,1874,E. B. Waring,Adam Z. Andis,,CC0,"https://images.collections.yale.edu/iiif/2/ypm:8ea6db8e-abed-49f4-9919-f866dca6039d/full/!1920,1920/0/default.jpg",image/jpeg,YPM_YPM_ICH_029984_35f7f9df.jpg
bb335ece-8957-4a43-8a55-23b7ff3853af,caeb0c80-1539-45a3-8a17-a491a71b31d5,NEON,FISC-V,NEON06X4A,Salvelinus fontinalis,United States,California,Tuolumne,"Pacific Southwest (D17), Teakettle Creek - Watershed 2 NEON (TECR), Teakettle 2 Creek Stream, Fish parent, 05 Fish Point",2022,Catie Halvorsen (ORCID 0000-0001-9719-1429),Gilma De Leon,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/publicdomain/zero/1.0/,https://biorepo.neonscience.org/imglib/neon/NEON_FISC-V/00000/A00000339708-1_1675273165.jpg,image/jpeg,NEON_NEON06X4A_bb335ece.jpg
f1a034f4-b140-4526-bf57-506a87952d9e,6f99f855-9edf-457f-8ab6-7787f4e787e2,YPM,VZ,YPM ICH 012073,Salvelinus fontinalis,,,,,,,Adam Z. Andis,,CC0,"https://images.collections.yale.edu/iiif/2/ypm:49f69ef0-667f-4f32-b54b-a42fad7a31ab/full/!1920,1920/0/default.jpg",image/jpeg,YPM_YPM_ICH_012073_f1a034f4.jpg
b04a34ff-b6ec-480c-8c72-0c6996dfd3df,4120017a-98ff-4242-8e66-ad784cd2cbc8,YPM,VZ,YPM ICH 011793,Salvelinus fontinalis,USA,Oregon,Wasco County,Sheavers,,Yale College Scientific Expedition 1871,Adam Z. Andis,,CC0,"https://images.collections.yale.edu/iiif/2/ypm:1c47e768-9ddf-4007-a5e4-5d7126502767/full/!1920,1920/0/default.jpg",image/jpeg,YPM_YPM_ICH_011793_b04a34ff.jpg
7675d274-1f51-4942-b45a-713d7580cdd6,9bcb83ae-c27c-4192-b659-de89605b5053,NEON,FISC-V,NEON054P3,Salvelinus fontinalis,United States,California,Tuolumne,"Pacific Southwest (D17), Teakettle Creek - Watershed 2 NEON (TECR), Teakettle 2 Creek Stream, Fish parent, 02 Fish Point",2021,Michael Molina (ORCID 0000-0002-5454-7533),,CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,https://biorepo.neonscience.org/imglib/neon/NEON_FISC-V/A00000298/A00000298487.jpg,image/jpeg,NEON_NEON054P3_7675d274.jpg
c8df7fd8-4671-4af7-aca5-6047bcdbab9d,a07ac861-6840-49c3-a495-57a04f189b37,NEON,FISC-V,NEON054P2,Salvelinus fontinalis,United States,California,Tuolumne,"Pacific Southwest (D17), Teakettle Creek - Watershed 2 NEON (TECR), Teakettle 2 Creek Stream, Fish parent, 05 Fish Point",2021,Michael Molina (ORCID 0000-0002-5454-7533),,CC BY-SA (Attribution-ShareAlike),https://creativecommons.org/licenses/by-sa/4.0/,https://media01.symbiota.org/media/neon/NEON_FISC-V/A00000298/A00000298499.jpg,image/jpeg,NEON_NEON054P2_c8df7fd8.jpg
